policyDefinitionId,groupNames,parameters
a7aca53f-2ed4-4466-a25e-0b45ade68efd,18.4.7.C.02.,
5345bb39-67dc-4960-a1bf-427e16b9a0bd,18.4.7.C.02.,
055aa869-bc98-4af8-bafc-23f1ab6ffe2c,18.4.8.C.01.,effect-055aa869-bc98-4af8-bafc-23f1ab6ffe2c
564feb30-bf6a-4854-b4bb-0d2d2d1e6c66,18.4.8.C.01.,effect-564feb30-bf6a-4854-b4bb-0d2d2d1e6c66
12430be1-6cc8-4527-a9a8-e3d38f250096,18.4.8.C.01.,effect-12430be1-6cc8-4527-a9a8-e3d38f250096;modeRequirement-12430be1-6cc8-4527-a9a8-e3d38f250096
425bea59-a659-4cbb-8d31-34499bd030b8,18.4.8.C.01.,effect-425bea59-a659-4cbb-8d31-34499bd030b8;modeRequirement-425bea59-a659-4cbb-8d31-34499bd030b8
a1817ec0-a368-432a-8057-8371e17ac6ee,18.4.8.C.01.,effect-a1817ec0-a368-432a-8057-8371e17ac6ee
0e246bcf-5f6f-4f87-bc6f-775d4712c7ea,18.1.13.C.02.,
c39ba22d-4428-4149-b981-70acb31fc383,23.4.9.C.01.,effect-c39ba22d-4428-4149-b981-70acb31fc383
0725b4dd-7e76-479c-a735-68e7ee23d5ca,18.1.13.C.02.,effect-0725b4dd-7e76-479c-a735-68e7ee23d5ca
f6de0be7-9a8a-4b8a-b349-43cf02d22f7c,18.1.13.C.02.,
bb91dfba-c30d-4263-9add-9c2384e659a6,18.1.13.C.02.,
1b8ca024-1d5c-4dec-8995-b1a932b41780,18.1.13.C.02.,effect-1b8ca024-1d5c-4dec-8995-b1a932b41780
fdccbe47-f3e3-4213-ad5d-ea459b2fa077,18.1.13.C.02.,
d9844e8a-1437-4aeb-a32c-0c992f056095,18.1.13.C.02.,
b52376f7-9612-48a1-81cd-1ffe4b61032c,18.1.13.C.02.,
044985bb-afe1-42cd-8a36-9d5d42424537,17.1.58.C.01.,effect-044985bb-afe1-42cd-8a36-9d5d42424537
9daedab3-fb2d-461e-b861-71790eead4f6,18.1.13.C.02.,
862e97cf-49fc-4a5c-9de4-40d4e2e7c8eb,18.1.13.C.02.,effect-862e97cf-49fc-4a5c-9de4-40d4e2e7c8eb
037eea7a-bd0a-46c5-9a66-03aea78705d3,18.1.13.C.02.,effect-037eea7a-bd0a-46c5-9a66-03aea78705d3
d0793b48-0edc-4296-a390-4c75d1bdfd71,18.1.13.C.02.,effect-d0793b48-0edc-4296-a390-4c75d1bdfd71
34c877ad-507e-4c82-993e-3452a6e0ad3c,18.1.13.C.02.,effect-34c877ad-507e-4c82-993e-3452a6e0ad3c
e71308d3-144b-4262-b144-efdc3cc90517,18.1.13.C.02.,
08e6af2d-db70-460a-bfe9-d5bd474ba9d6,18.1.10.C.01.,
501541f7-f7e7-4cd6-868c-4190fdad3ac9,6.2.5.C.01.,
1b7aa243-30e4-4c9e-bca8-d0d3022b634a,6.2.5.C.01.,
ef2a8f2a-b3d9-49cd-a8a8-9a3aaaf647d9,6.2.5.C.01.,
5f0f936f-2f01-4bf5-b6be-d423792fa562,6.2.6.C.01.,
6e2593d9-add6-4083-9c9b-4b7d2188c899,7.2.22.C.01.,
0b15565f-aa9e-48ba-8619-45960f2c314d,7.2.22.C.01.,
e802a67a-daf5-4436-9ea6-f6d821dd0c5d,18.1.13.C.02.,
d158790f-bfb0-486c-8631-2dc6b4e8e6af,18.1.13.C.02.,
feedbf84-6b99-488c-acc2-71c829aa5ffc,6.2.6.C.01.,
6ba6d016-e7c3-4842-b8f2-4992ebc0d72d,6.2.6.C.01.,
4f4f78b8-e367-4b10-a341-d9a4ad5cf1c7,7.2.22.C.01.,
e8cbc669-f12d-49eb-93e7-9273119e9933,6.2.6.C.01.,
e1e5fd5d-3e4c-4ce1-8661-7d1873ae6b15,6.2.6.C.01.,
3c735d8a-a4ba-4a3a-b7cf-db7754cf57f4,6.2.6.C.01.,
0015ea4d-51ff-4ce3-8d8c-f3f8f0179a56,6.4.5.C.01.,
2913021d-f2fd-4f3d-b958-22354e2bdbcb,7.1.7.C.02.,
7fe3b40f-802b-4cdd-8bd4-fd799c948cc2,7.1.7.C.02.,
bdc59948-5574-49b3-bb91-76b7c986428d,7.1.7.C.02.,
0e6763cc-5078-4e64-889d-ff4d9a839047,7.1.7.C.02.,
0a9fbe0d-c5c4-4da8-87d8-f4fd77338835,7.1.7.C.02.,
c3d20c29-b36d-48fe-808b-99a87530ad99,7.1.7.C.02.,
4da35fc9-c9e7-4960-aec9-797fe7d9051d,7.1.7.C.02.,
6581d072-105e-4418-827f-bd446d56421b,7.1.7.C.02.,
abfb4388-5bf4-4ad7-ba82-2cd2f41ceae9,7.1.7.C.02.,
abfb7388-5bf4-4ad7-ba99-2cd2f41cebb9,7.1.7.C.02.,
308fbb08-4ab8-4e67-9b29-592e93fb94fa,7.1.7.C.02.,
1c988dd6-ade4-430f-a608-2a3e5b0a6d38,7.1.7.C.02.,
22bee202-a82f-4305-9a2a-6d7f44d4dedb,18.1.13.C.02.,effect-22bee202-a82f-4305-9a2a-6d7f44d4dedb
404c3081-a854-4457-ae30-26a93ef643f9,18.1.13.C.02.,effect-404c3081-a854-4457-ae30-26a93ef643f9
0cfea604-3201-4e14-88fc-fae4c427a6c5,16.4.30.C.01.,
0fc39691-5a3f-4e3e-94ee-2e6447309ad9,6.2.6.C.01.,
2393d2cf-a342-44cd-a2e2-fe0188fd1234,10.8.35.C.01.,
339353f6-2387-4a45-abe4-7f529d121046,16.4.30.C.01.,
5450f5bd-9c72-4390-a9c4-a7aba4edfdd2,16.1.32.C.01.,
55615ac9-af46-4a59-874e-391cc3dfb490,18.1.13.C.02.,
7803067c-7d34-46e3-8c79-0ca68fc4036d,10.8.35.C.01.,
81b3ccb4-e6e8-4e4a-8d05-5df25cd29fd4,23.3.19.C.01.,
8d7e1fde-fe26-4b5f-8108-f8e432cbc2be,16.4.30.C.01.,
931e118d-50a1-4457-a5e4-78550e086c52,23.3.19.C.01.,
94e1c2ac-cbbe-4cac-a2b5-389c812dee87,16.4.30.C.01.,
a1840de2-8088-4ea8-b153-b4c723e9cb01,7.1.7.C.02.,
a6abeaec-4d90-4a02-805f-6b26c4d3fbe9,10.8.35.C.01.,
